Name,Platform,Year,Genre,Publisher
Monster Strike 3DS,3DS,2015,Action,"mixi, Inc"
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive
Madden NFL 16,PS3,2015,Sports,Electronic Arts
Guitar Hero Live,PS4,2015,Misc,Activision
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment
NBA 2K16,PS3,2015,Sports,Take-Two Interactive
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment
Rare Replay,XOne,2015,Misc,Microsoft Game Studios
Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix
Rhythm Heaven: The Best+,3DS,2015,Misc,Nintendo
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment
Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment
Minecraft: Story Mode,PS3,2015,Adventure,Mojang
Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,Misc,Nintendo
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios
Need for Speed (2015),XOne,2015,Racing,Electronic Arts
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games
Minecraft: Story Mode,PS4,2015,Adventure,Mojang
F1 2015,PS4,2015,Racing,Codemasters
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment
God of War III,PS4,2015,Action,Sony Computer Entertainment
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment
Evolve,XOne,2015,Shooter,Take-Two Interactive
NHL 16,PS4,2015,Sports,Electronic Arts
LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games
Just Dance 2016,WiiU,2015,Misc,Ubisoft
WWE 2K16,XOne,2015,Sports,Take-Two Interactive
WWE 2K16,PS3,2015,Sports,Take-Two Interactive
LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo
Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games
LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment
Minecraft: Story Mode,XOne,2015,Adventure,Mojang
Resident Evil: Revelations 2,PS4,2015,Action,Capcom
Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts
LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo
StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts
Guitar Hero Live,XOne,2015,Misc,Activision
WWE 2K16,X360,2015,Sports,Take-Two Interactive
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix
Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts
Skylanders: SuperChargers,WiiU,2015,Action,Activision
Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo
Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios
NHL 16,XOne,2015,Sports,Electronic Arts
Farming Simulator 2015,PS3,2015,Simulation,Koch Media
Mad Max (2015),XOne,2015,Action,Warner Bros. Interactive Entertainment
Skylanders: SuperChargers,X360,2015,Action,Activision
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software
Pro Evolution Soccer 2016,PS3,2015,Sports,Konami Digital Entertainment
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo
Disney Infinity 3.0,X360,2015,Action,Disney Interactive Studios
Disney Infinity 3.0,WiiU,2015,Action,Disney Interactive Studios
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo
Destiny: The Taken King,PS3,2015,Shooter,Activision
Farming Simulator 2015,X360,2015,Simulation,Koch Media
LEGO Jurassic World,PSV,2015,Action,Warner Bros. Interactive Entertainment
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive
Rise of the Tomb Raider,X360,2015,Adventure,Square Enix
Skylanders: SuperChargers,PS3,2015,Action,Activision
MLB 15: The Show,PS3,2015,Sports,Sony Computer Entertainment
Saints Row IV,PS4,2015,Action,Deep Silver
God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games
Destiny: The Taken King,X360,2015,Shooter,Activision
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games
